repo_nombre,es_privado,tiene_readme,documentacion,archivo_origen,fecha_actualizacion,url_repositorio,clasificacion_dinamica
programmingwithclaudio/api-fastapi-login-example,Sí,Sí,Proceso Deploy Proyecto,README.md,2024-11-25 03:09:47,https://github.com/programmingwithclaudio/api-fastapi-login-example,"{""proposito_principal"": ""API de autenticación con FastAPI que incluye registro, login, verificación de email y gestión de usuarios"", ""dominio_aplicacion"": ""Desarrollo de Software"", ""tipo_proyecto"": [""API REST"", ""Template/Example""], ""tecnologias_backend"": [""FastAPI"", ""SQLAlchemy"", ""Alembic"", ""Uvicorn"", ""Pydantic"", ""Python-JOSE"", ""Passlib"", ""Python-multipart""], ""tecnologias_frontend"": [], ""bases_datos"": [""PostgreSQL""], ""ml_ia"": [], ""devops_cloud"": [""Docker"", ""Docker Compose""], ""funcionalidades_clave"": [""Autenticación JWT"", ""Registro de usuarios"", ""Login con email y contraseña"", ""Verificación de email"", ""Hashing de contraseñas con bcrypt"", ""Migraciones de base de datos"", ""Documentación automática con Swagger""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Authentication"", ""Open Source"", ""Educational"", ""Template Project""]}"
programmingwithclaudio/api-flask-login-example,Sí,Sí,Objests metodos Objests metodos,README.md,2024-11-24 21:48:45,https://github.com/programmingwithclaudio/api-flask-login-example,"{""proposito_principal"": ""API de ejemplo para implementar sistema de autenticación y login con Flask"", ""dominio_aplicacion"": ""Desarrollo Web"", ""tipo_proyecto"": [""API REST""], ""tecnologias_backend"": [""Flask""], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [""Autenticación"", ""Login de usuarios""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Ejemplo educativo"", ""Template""]}"
programmingwithclaudio/api-openwa-node,Sí,Sí,,README.md,2025-09-01 10:21:05,https://github.com/programmingwithclaudio/api-openwa-node,"{""proposito_principal"": ""No se puede determinar por falta de documentación"", ""dominio_aplicacion"": ""No se puede determinar por falta de documentación"", ""tipo_proyecto"": [], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [], ""lenguajes_programacion"": [], ""tags_adicionales"": []}"
programmingwithclaudio/api-restfull-init,Sí,Sí,Cómo usar usar los recuros para para el módulo 4 Inicia el Proyecto RESTFULL FLASK flask marshmallow docker bash revisar pip post Enviar post metodo put añador decorador de la libreria flask Resource Method Decorators,README.md,2024-09-25 19:34:15,https://github.com/programmingwithclaudio/api-restfull-init,"{""proposito_principal"": ""Proyecto educativo para iniciar con API RESTful usando Flask"", ""dominio_aplicacion"": ""Educación"", ""tipo_proyecto"": [""API REST"", ""Template"", ""Proyecto educativo""], ""tecnologias_backend"": [""Flask"", ""Flask-RESTful"", ""Marshmallow""], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [""Docker""], ""funcionalidades_clave"": [""Decoradores de recursos Flask"", ""Métodos HTTP (POST, PUT)"", ""Validación de datos con Marshmallow""], ""lenguajes_programacion"": [""Python"", ""Bash""], ""tags_adicionales"": [""Open Source"", ""Educational"", ""Starter Template""]}"
programmingwithclaudio/api_ml_lendingclub,Sí,Sí,apimllendingclub,README.md,2024-01-18 02:34:07,https://github.com/programmingwithclaudio/api_ml_lendingclub,"{""proposito_principal"": ""API para análisis de riesgo crediticio usando machine learning"", ""dominio_aplicacion"": ""Finanzas"", ""tipo_proyecto"": [""API REST"", ""Machine Learning""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [], ""lenguajes_programacion"": [], ""tags_adicionales"": []}"
programmingwithclaudio/api_negocio_tech,No,Sí,"Proyecto API para base de datos ""storeAPP"" Descripción Este proyecto tiene como objetivo crear una API para gestionar una base de datos normalizada para negocios utilizando el framework FastAPI y la base de datos MariaDB. El proyecto se divide en los siguientes pasos: Paso 1: Diseño de la Base de Datos Normalizada El primer paso consiste en diseñar la estructura de la base de datos, siguiendo las normas de normalización para garantizar la integridad y eficiencia de los datos almacenados. Paso 2: Generación de Datos En este paso, se procede a la generación de datos de prueba para poblar la base de datos. Para ello, se utilizó una combinación de datos reales y generados automáticamente con la ayuda de técnicas de Inteligencia Artificial para datos de prueba. Paso 3: Elaboración de KPI's de Control Financiero SQL Se elaboraron consultas SQL para calcular los Key Performance Indicators (KPI's) relacionados con el control financiero del negocio. Estos KPI's proporcionarán información clave para evaluar el rendimiento económico y financiero del negocio. Paso 4: Elaboración de la API En este paso, se creó una API utilizando FastAPI para proporcionar una interfaz de acceso a la base de datos. La API permite realizar operaciones CRUD (Crear, Leer, Actualizar y Eliminar) sobre los datos de la base de datos, lo que facilita la gestión y manipulación de la información almacenada. Paso 5: Mejora de la Presentación del Proyecto(pendiente) Este paso tiene como objetivo mejorar la presentación y documentación del proyecto para crear un diseño impactante. Se incluyen imágenes como el modelo de datos y capturas de pantalla de la API para una mejor comprensión visual. Modelo de Datos Captura de Pantalla de la API (Clientes) (https://postimg.cc/YhGQDFgq) Nota Este proyecto incluye tanto el diseño del modelo de datos como los registros de prueba generados de forma personalizada y mediante el uso de técnicas de IA para datos de prueba. Referencias Nota: Estan en constante mejora, siempre se puede mejorar un proyecto.",README.md,2023-12-20 21:52:40,https://github.com/programmingwithclaudio/api_negocio_tech,"{""proposito_principal"": ""API para gestionar una base de datos normalizada para negocios"", ""dominio_aplicacion"": ""Negocios/Finanzas"", ""tipo_proyecto"": [""API REST""], ""tecnologias_backend"": [""FastAPI""], ""tecnologias_frontend"": [], ""bases_datos"": [""MariaDB""], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [""Operaciones CRUD"", ""KPI's de control financiero"", ""Base de datos normalizada""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Open Source"", ""En desarrollo""]}"
programmingwithclaudio/app-auren-backend-flask,Sí,Sí,"🚀 Deploy Backend Flask en Railway 📁 Estructura de archivos necesarios para Railway 📝 1. Crear 📝 2. Crear (punto de entrada) 📝 3. Crear 📝 4. Actualizar para Railway 🔧 5. Actualizar para producción 🚀 6. Pasos para hacer deploy en Railway Paso 1: Preparar el repositorio Paso 2: Deploy en Railway Ve a railway.app Conecta tu cuenta de GitHub Click en ""Deploy from GitHub repo"" Selecciona tu repositorio del backend Railway detectará automáticamente que es una app Flask Paso 3: Configurar variables de entorno en Railway En el dashboard de Railway: Ve a la pestaña ""Variables"" Añade estas variables (NO subas el .env a git): 🔗 7. Conectar frontend local con backend en Railway Una vez deployado, Railway te dará una URL como: En tu frontend local, actualiza las URLs: 🛠️ 8. Comandos útiles ⚠️ 9. Consideraciones importantes CORS y Cookies El backend estará en El frontend en Necesitas para cross-domain Necesitas en HTTPS Variables de entorno NUNCA subas a git Añade a Configura todas las variables en Railway Dashboard Testing Prueba el health endpoint: Verifica que el login funcione desde tu frontend local Comprueba que las cookies se setean correctamente 🐛 10. Troubleshooting Si el frontend no puede conectarse: Si hay errores CORS: Si Railway no encuentra tu app: Verifica que esté en la raíz Verifica que esté en la raíz Verifica que esté correcto ✅ Checklist final creado creado creado Variables de entorno configuradas en Railway añadido a CORS configurado para tu IP local Frontend actualizado con nueva URL de Railway Cookies configuradas para cross-domain Health endpoint funcionando Login/auth funcionando desde frontend local ¡Tu backend estará corriendo en Railway y tu frontend local podrá conectarse perfectamente",README.md,2025-09-03 12:19:42,https://github.com/programmingwithclaudio/app-auren-backend-flask,"{""proposito_principal"": ""Backend Flask para deploy en Railway"", ""dominio_aplicacion"": ""DevOps"", ""tipo_proyecto"": [""API REST"", ""Backend Service""], ""tecnologias_backend"": [""Flask""], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [""Railway"", ""GitHub""], ""funcionalidades_clave"": [""Health endpoint"", ""Login/auth"", ""CORS configuration"", ""Cookie management"", ""Cross-domain authentication""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Deployment"", ""Production"", ""Environment Variables"", ""HTTPS"", ""Testing""]}"
programmingwithclaudio/app-auren-developer,Sí,Sí,"Crear el tag anotado git tag -a 1415 -m ""update 13/08"" Enviar el tag al remoto git push origin 1415",README.md,2025-08-14 21:36:45,https://github.com/programmingwithclaudio/app-auren-developer,"{""proposito_principal"": ""Gestión de versiones y tags de Git para desarrollo de software"", ""dominio_aplicacion"": ""Desarrollo de Software"", ""tipo_proyecto"": [""Herramienta de desarrollo""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [""Git""], ""funcionalidades_clave"": [""Creación de tags anotados"", ""Sincronización de tags con repositorio remoto""], ""lenguajes_programacion"": [], ""tags_adicionales"": [""Git Workflow"", ""Version Control""]}"
programmingwithclaudio/app-auren-fronted-next,Sí,Sí,"npm install axios git tag -a v1.0.1 -m ""update a5c5d"" git push origin v1.0.1",README.md,2025-09-08 17:52:43,https://github.com/programmingwithclaudio/app-auren-fronted-next,"{""proposito_principal"": ""No se puede determinar el propósito específico del proyecto debido a la falta de documentación"", ""dominio_aplicacion"": ""No se puede determinar el dominio de aplicación"", ""tipo_proyecto"": [""Frontend""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [""Next.js""], ""bases_datos"": [], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [], ""lenguajes_programacion"": [""JavaScript"", ""TypeScript""], ""tags_adicionales"": []}"
programmingwithclaudio/app-auren-supabase,Sí,Sí,"ETL de Ventas hacia Supabase Este repositorio contiene la automatización que extrae datos de SQL Server, los transforma y los envía a Supabase cada 30 minutos mediante un proceso de ETL. 📂 Archivo principal Script base de la ETL encargado de enviar las tablas procesadas hacia Supabase. 🏷️ Versionado con Git Tags Para generar una nueva versión se deben crear y enviar los tags correspondientes: SQLEXPRESSuserventassupabase.pyC:\Windows\System32\cmd.exe/c ""C:\eauren\taskforcedescarga\contronetdiario.bat""C:\eauren\taskforcedescargauserventas_supabase.py. ✍️ Autor: Equipo de Canal Fija 📅 Última actualización: 13/08",README.md,2025-08-18 14:43:08,https://github.com/programmingwithclaudio/app-auren-supabase,"{""proposito_principal"": ""ETL de Ventas hacia Supabase que extrae datos de SQL Server, los transforma y los envía a Supabase cada 30 minutos"", ""dominio_aplicacion"": ""Ventas"", ""tipo_proyecto"": [""ETL"", ""Pipeline de datos""], ""tecnologias_backend"": [], ""tecnologias_frontend"": [], ""bases_datos"": [""SQL Server"", ""Supabase""], ""ml_ia"": [], ""devops_cloud"": [], ""funcionalidades_clave"": [""Extracción de datos de SQL Server"", ""Transformación de datos"", ""Carga de datos a Supabase"", ""Automatización cada 30 minutos""], ""lenguajes_programacion"": [""Python""], ""tags_adicionales"": [""Automatización"", ""Data Pipeline"", ""Batch Processing""]}"
